text,label
I absolutely love this phone! Best purchase ever.,positive
Terrible customer service. I'm never coming back!,negative
"The movie was okay, but not great.",neutral
Highly recommend this product to everyone.,positive
Waste of money. Do not buy!,negative
The packaging was nice and the product works well.,positive
Not what I expected. Disappointed.,negative
Fantastic quality and super fast delivery!,positive
It was average. Nothing stood out.,neutral
Superb! Exceeded all my expectations.,positive
Worst experience ever. Totally useless.,negative
Great performance. Worth every penny.,positive
I hate how slow this device is.,negative
Customer support was helpful and polite.,positive
Such a boring product. Unimpressed.,negative
Loving it so far. Great value!,positive
Very bad experience. Faulty product.,negative
Impressive results within days. Thumbs up!,positive
Too expensive for what it offers.,negative
Smooth interface and sleek design. Nice job!,positive
